Gästeübernachtungen (absolut und pro 1.000 EinwohnerInnen) seit 2002 - Bezirke Wien | Overnight stays (absolute and per 1,000 inhabitants) since 2002 - districts of Vienna;;;;;;;;;;;;;;
NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;REF_DATE;TOU_VALUE;TOU_DENSITY;POP_AVE;;;;;;;
AT13;91100;91100;2009;20091231; 90.817 ; 1.022,80 ; 88.793 ;;;;;;;
AT13;91200;91200;2009;20091231; 211.988 ; 2.428,19 ; 87.303 ;;;;;;;
AT13;91300;91300;2009;20091231; 231.216 ; 4.534,18 ; 50.994 ;;;;;;;
AT13;91400;91400;2009;20091231; 236.046 ; 2.809,14 ; 84.028 ;;;;;;;
AT13;91500;91500;2009;20091231; 639.654 ; 9.052,95 ; 70.657 ;;;;;;;
AT13;91600;91600;2009;20091231; 150.384 ; 1.587,32 ; 94.741 ;;;;;;;
AT13;91700;91700;2009;20091231; 272.603 ; 5.208,40 ; 52.339 ;;;;;;;
AT13;91800;91800;2009;20091231; 38.436 ; 807,01 ; 47.628 ;;;;;;;
AT13;91900;91900;2009;20091231; 151.899 ; 2.242,95 ; 67.723 ;;;;;;;
AT13;92000;92000;2009;20091231; 96.509 ; 1.176,79 ; 82.010 ;;;;;;;
AT13;92100;92100;2009;20091231; 27.038 ; 193,10 ; 140.017 ;;;;;;;
AT13;92200;92200;2009;20091231; 424.248 ; 2.752,33 ; 154.142 ;;;;;;;
AT13;92300;92300;2009;20091231; 69.631 ; 758,22 ; 91.835 ;;;;;;;
AT13;90000;90000;2010;20101231; 10.860.126 ; 6.404,96 ; 1.695.580 ;;;;;;;
AT13;90100;90100;2010;20101231; 1.978.827 ; 120.494,87 ; 16.423 ;;;;;;;
AT13;90200;90200;2010;20101231; 1.150.389 ; 12.112,21 ; 94.978 ;;;;;;;
AT13;90300;90300;2010;20101231; 1.180.504 ; 14.140,57 ; 83.484 ;;;;;;;
AT13;90400;90400;2010;20101231; 466.373 ; 15.335,29 ; 30.412 ;;;;;;;
AT13;90500;90500;2010;20101231; 415.383 ; 7.905,94 ; 52.541 ;;;;;;;
AT13;90600;90600;2010;20101231; 649.583 ; 22.176,97 ; 29.291 ;;;;;;;
AT13;90700;90700;2010;20101231; 726.925 ; 24.206,12 ; 30.031 ;;;;;;;
AT13;90800;90800;2010;20101231; 342.492 ; 14.714,70 ; 23.276 ;;;;;;;
AT13;90900;90900;2010;20101231; 454.750 ; 11.561,94 ; 39.332 ;;;;;;;
AT13;91000;91000;2010;20101231; 712.827 ; 4.062,11 ; 175.482 ;;;;;;;
AT13;91100;91100;2010;20101231; 102.777 ; 1.143,65 ; 89.868 ;;;;;;;
AT13;91200;91200;2010;20101231; 225.813 ; 2.571,01 ; 87.831 ;;;;;;;
AT13;91300;91300;2010;20101231; 140.465 ; 2.756,87 ; 50.951 ;;;;;;;
AT13;91400;91400;2010;20101231; 217.106 ; 2.573,92 ; 84.349 ;;;;;;;
AT13;91500;91500;2010;20101231; 723.053 ; 10.157,33 ; 71.185 ;;;;;;;
AT13;91600;91600;2010;20101231; 163.770 ; 1.727,59 ; 94.797 ;;;;;;;
AT13;91700;91700;2010;20101231; 298.081 ; 5.699,10 ; 52.303 ;;;;;;;
AT13;91800;91800;2010;20101231; 38.212 ; 803,01 ; 47.586 ;;;;;;;
AT13;91900;91900;2010;20101231; 153.781 ; 2.265,57 ; 67.878 ;;;;;;;
AT13;92000;92000;2010;20101231; 105.453 ; 1.277,69 ; 82.534 ;;;;;;;
